Type,Sentence,Grammatical,Region Start,Region End,Is Training
<S_FG>,I know who Michael's recent talking to bothered recently,True,48,56,True
<S_FG>,I know who Ashley's recent talking to bothered recently,True,47,55,True
<S_FG>,I know who Daniel's recent talking to bothered recently,True,47,55,True
<S_FG>,I know who John's recent talking to bothered recently,True,45,53,True
<S_FG>,I know who Brandon's recent talking to bothered recently,True,48,56,True
<S_FG>,I know who William's recent talking to bothered recently,True,48,56,True
<S_FG>,I know who Nicole's recent talking to bothered recently,True,47,55,True
<S_FG>,I know who Eric's recent talking to bothered recently,True,45,53,True
<S_FG>,I know who Melissa's recent talking to bothered recently,True,48,56,True
<S_FG>,I know who Timothy's recent talking to bothered recently,True,48,56,True
<S_FG>,I know who Michael's current talking to bothered recently,True,49,57,True
<S_FG>,I know who Ashley's current talking to bothered recently,True,48,56,True
<S_FG>,I know who Daniel's current talking to bothered recently,True,48,56,True
<S_FG>,I know who John's current talking to bothered recently,True,46,54,True
<S_FG>,I know who Brandon's current talking to bothered recently,True,49,57,True
<S_FG>,I know who William's current talking to bothered recently,True,49,57,True
<S_FG>,I know who Nicole's current talking to bothered recently,True,48,56,True
<S_FG>,I know who Eric's current talking to bothered recently,True,46,54,True
<S_FG>,I know who Melissa's current talking to bothered recently,True,49,57,True
<S_FG>,I know who Timothy's current talking to bothered recently,True,49,57,True
<S_FG>,I know who Michael's recent attitude towards bothered recently,True,54,62,True
<S_FG>,I know who Ashley's recent attitude towards bothered recently,True,53,61,True
<S_FG>,I know who Daniel's recent attitude towards bothered recently,True,53,61,True
<S_FG>,I know who John's recent attitude towards bothered recently,True,51,59,True
<S_FG>,I know who Brandon's recent attitude towards bothered recently,True,54,62,True
<S_FG>,I know who William's recent attitude towards bothered recently,True,54,62,True
<S_FG>,I know who Nicole's recent attitude towards bothered recently,True,53,61,True
<S_FG>,I know who Eric's recent attitude towards bothered recently,True,51,59,True
<S_FG>,I know who Melissa's recent attitude towards bothered recently,True,54,62,True
<S_FG>,I know who Timothy's recent attitude towards bothered recently,True,54,62,True
<S_FG>,I know who Michael's current attitude towards bothered recently,True,55,63,True
<S_FG>,I know who Ashley's current attitude towards bothered recently,True,54,62,True
<S_FG>,I know who Daniel's current attitude towards bothered recently,True,54,62,True
<S_FG>,I know who John's current attitude towards bothered recently,True,52,60,True
<S_FG>,I know who Brandon's current attitude towards bothered recently,True,55,63,True
<S_FG>,I know who William's current attitude towards bothered recently,True,55,63,True
